cluster_id	rm_classification	repeat_class	repeat_subclass	repeat_order	repeat_superfamily	repeat_family	average	median	minimum	maximum	standard_deviation	iqr	num_alignments	species	mean_insertion_length	insertion_count	total_genome_bp_cluster	total_genome_percent_cluster
Cluster282	LINE-CR1	I	NA	LINE	Jockey	CR1	4.028	3.93	2.1	5.32	1.00403408530012	1.2	10	elegans	231	10	2310	0.00230372
Cluster284	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	10.2966666666667	10.03	4.14	25.85	4.67997851170884	5.68	60	elegans	116.156	45	4349	0.00433718
Cluster285	Unknown	NA	NA	NA	NA	NA	15.4551923076923	17.39	2.43	32.62	7.16251119573012	10.29	52	elegans	117.064	47	5424	0.00540925
Cluster286	Unknown	NA	NA	NA	NA	NA	6.93761904761905	4.96	0	15.62	4.66037196157952	7.685	63	elegans	95.5952	42	3753	0.0037428
Cluster287	DNA	II	NA	NA	NA	NA	18.8754592720971	18.53	0	41.69	8.21950092966445	13.06	2885	elegans	219.14	2379	493820	0.492477
Cluster289	Unknown	NA	NA	NA	NA	NA	20.7366862170088	20.52	7.86	34.8	5.07145679135145	6.9	341	elegans	119.601	228	21852	0.0217926
Cluster28	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	11.6769318181818	10.96	0	27.95	5.2977729777741	6.0275	88	elegans	116.318	85	9833	0.00980627
Cluster290	Unknown	NA	NA	NA	NA	NA	12.502183908046	12.51	0.23	25.2	5.78119494071327	8.45	87	elegans	107.486	72	7345	0.00732503
Cluster291	Satellite	Satellite	NA	NA	NA	NA	18.0518024032043	18.22	0	36.81	5.53567948994961	6.32	749	elegans	103.684	440	34762	0.0346675
Cluster292	DNA	II	NA	NA	NA	NA	14.8073015873016	14.66	0.26	25.59	5.56247108186733	7.52	63	elegans	74.6719	64	4636	0.0046234
Cluster293	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	9.5655	8.575	0.6	20.32	7.08739399142898	15.08	40	elegans	289.27	37	10689	0.0106599
Cluster295	Unknown	NA	NA	NA	NA	NA	13.1920652173913	12.88	2.38	32.14	6.03006707050766	9.1975	92	elegans	131.323	62	7582	0.00756139
Cluster296	Satellite	Satellite	NA	NA	NA	NA	22.7045454545455	23.945	9.69	39.41	7.17838857817555	8.2375	44	elegans	116.706	34	3755	0.00374479
Cluster297	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	18.2546428571429	19.475	3.25	32.34	7.25999473185026	10.005	56	elegans	69.1064	47	2995	0.00298686
Cluster298	LTR-Gypsy	I	NA	LTR	Gypsy	NA	10.8325	8.315	0	32.02	10.3861621538331	10.0925	8	elegans	427.5	6	2512	0.00250517
Cluster299	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	14.569375	13.11	0	28.85	6.60598765641192	1.2375	16	elegans	1322.46	13	17016	0.0169697
Cluster29	DNA-hAT	II	1	TIR	hAT	NA	9.03975609756097	10	1.59	17.76	3.50372693556795	4.61	41	elegans	168.128	39	6553	0.00653518
Cluster301	Unknown	NA	NA	NA	NA	NA	11.8614285714286	13.8	0.81	21.24	8.44572757586428	11.45	7	elegans	208.167	6	1249	0.0012456
Cluster304	LINE-CR1	I	NA	LINE	Jockey	CR1	5.05	5.05	5.05	5.05	NA	0	1	elegans	166	1	166	0.000165549
Cluster306	LINE-CR1	I	NA	LINE	Jockey	CR1	6.52666666666667	0.94	0	35.52	14.2154277693873	1.085	6	elegans	649.667	6	3898	0.0038874
Cluster307	LINE-CR1	I	NA	LINE	Jockey	CR1	9.22333333333333	1.51	0	26.16	14.6870021901453	13.08	3	elegans	1697.67	3	5093	0.00507915
Cluster309	LINE-CR1	I	NA	LINE	Jockey	CR1	0	0	0	0	0	0	2	elegans	311	2	593	0.000591388
Cluster30	RC-Helitron	II	2	Helitron	Helitron	NA	6.99921487603306	4.07	0	33.19	7.00648376389468	3.9125	242	elegans	198.531	207	40056	0.0399471
Cluster310	Unknown	NA	NA	NA	NA	NA	0	0	0	0	NA	0	1	elegans	397	1	294	0.000293201
Cluster311	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	elegans	5009	1	5009	0.00499538
Cluster312	LINE-CR1	I	NA	LINE	Jockey	CR1	10.0116666666667	2.715	0	34.89	14.3401860750364	15.78	6	elegans	105.333	6	631	0.000629285
Cluster313	LINE-Jockey	I	NA	LINE	Jockey	NA	14.37	15.6	0	38.11	14.0432104591507	12.6825	6	elegans	237.4	5	1016	0.00101324
Cluster315	LINE-CR1	I	NA	LINE	Jockey	CR1	0	0	0	0	NA	0	1	elegans	395	1	395	0.000393926
Cluster316	Unknown	NA	NA	NA	NA	NA	5.74	1.26	0	20.44	9.87173743573035	7	4	elegans	579.667	3	454	0.000452766
Cluster318	LINE-CR1	I	NA	LINE	Jockey	CR1	24.7	24.7	24.7	24.7	NA	0	1	elegans	119	1	119	0.000118676
Cluster31	DNA	II	NA	NA	NA	NA	12.95	12.95	12.95	12.95	0	0	2	elegans	52	1	51	5.08613e-05
Cluster320	LINE-CR1	I	NA	LINE	Jockey	CR1	11.0925	3.46	1.46	35.99	16.6920986797147	11.3775	4	elegans	577	4	2298	0.00229175
Cluster325	Simple_repeat	Simple_repeat	NA	NA	NA	NA	20.94	20.94	20.94	20.94	NA	0	1	elegans	65	1	65	6.48233e-05
Cluster327	SINE_q	I	NA	SINE	NA	NA	23.8385714285714	24.43	20.84	27.83	2.78822780376968	4.315	7	elegans	74.5714	7	522	0.000520581
Cluster328	SINE_q	I	NA	SINE	NA	NA	5.853	2.22	1.1	25.44	8.23561378674622	4.195	10	elegans	84.6	10	846	0.0008437
Cluster329	LINE-Jockey	I	NA	LINE	Jockey	NA	42.88	42.71	42.71	43.22	0.294448637286708	0.255000000000003	3	elegans	1030.5	2	1737	0.00173228
Cluster32	DNA-TcMar-Pogo	II	1	TIR	Tc1-Mariner	Pogo	21.9958950969213	22.17	0.35	43.32	6.20100218575226	8.2	877	elegans	135.934	806	104701	0.104416
Cluster332	LINE-R2-NeSL	I	NA	LINE	R2	NeSL	5.155	5.155	3.2	7.11	2.7647875144394	1.955	2	elegans	41	2	47	4.68722e-05
Cluster338	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	20.366	21.09	15.09	27.77	5.04545637182604	5.4	5	elegans	75.2	5	351	0.000350046
Cluster339	Satellite	Satellite	NA	NA	NA	NA	25.5223870967742	25.76	6.79	38.32	5.81827975691291	7.08	155	elegans	268.095	63	16651	0.0166057
Cluster33	Unknown	NA	NA	NA	NA	NA	17.1089123867069	16.56	2.79	38.98	5.78006873411455	7.96	331	elegans	98.9019	316	30870	0.0307861
Cluster341	RC-Helitron	II	2	Helitron	Helitron	NA	20.5266666666667	20.11	18.95	22.49	1.60266860787459	2.61	6	elegans	86.75	4	239	0.00023835
Cluster343	RC-Helitron	II	2	Helitron	Helitron	NA	21.795	21.795	17.75	25.84	5.72049385979917	4.045	2	elegans	102	2	95	9.47417e-05
Cluster344	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	28.63	28.63	28.63	28.63	NA	0	1	elegans	73	1	73	7.28015e-05
Cluster348	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	16.86	16.86	13.79	19.93	4.3416356364854	3.07	2	elegans	55.5	2	66	6.58206e-05
Cluster34	DNA-Merlin	II	1	TIR	Merlin	NA	17.667972972973	17.005	0	39.88	6.37314008329497	8.365	296	elegans	153.184	282	43004	0.0428871
Cluster351	DNA-hAT	II	1	TIR	hAT	NA	12.6042666666667	12.395	0	29.84	6.89335508127045	10.52	300	elegans	131.115	227	27487	0.0274123
Cluster352	DNA	II	NA	NA	NA	NA	9.00948275862069	8.32	0	34.08	7.13547461444449	6.555	58	elegans	125.625	48	5957	0.0059408
Cluster353	RC-Helitron	II	2	Helitron	Helitron	NA	25.6992307692308	24.29	14.19	35.55	6.17142266356046	4.96	13	elegans	158.273	11	1740	0.00173527
Cluster354	DNA	II	NA	NA	NA	NA	9.65657322654462	8.7	0.23	32.71	4.39498448165041	5.565	1748	elegans	158.383	1621	240269	0.239616
Cluster355	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	1.875	1.57	0	3.52	1.33251266410492	1.5825	6	elegans	592.333	6	3554	0.00354434
Cluster356	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	15.4830769230769	15.04	0	33.1	7.55062921473843	9.025	91	elegans	374.06	67	24969	0.0249011
Cluster357	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	11.9083333333333	14.48	4.39	16.8	5.58101932147405	8.565	6	elegans	174.8	5	871	0.000868632
Cluster358	DNA-TcMar-Pogo	II	1	TIR	Tc1-Mariner	Pogo	19.1488888888889	19.24	2.45	36.2	9.2478093502071	15.77	63	elegans	80.2745	51	3742	0.00373183
Cluster359	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	12.3547647058824	11.555	0.3	33.41	7.55716770173322	12.0175	170	elegans	212.826	144	29834	0.0297529
Cluster35	RC-Helitron	II	2	Helitron	Helitron	NA	13.1553846153846	13.38	6.69	19.69	3.34912579485208	3.25	13	elegans	109.692	13	1353	0.00134932
Cluster360	DNA-TcMar-Pogo	II	1	TIR	Tc1-Mariner	Pogo	13.8965	12.565	0	39.65	9.43721208779195	15.4975	300	elegans	230.544	226	51269	0.0511296
Cluster362	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	16.2561538461538	16.38	0	34.97	10.5246041401894	15.09	13	elegans	89.6667	12	971	0.00096836
Cluster365	Satellite	Satellite	NA	NA	NA	NA	18.8624349881797	20.59	1.31	30.36	6.54803523079989	5.4	423	elegans	913.75	16	14585	0.0145453
Cluster366	Unknown	NA	NA	NA	NA	NA	18.5563698630137	18.025	5.02	32.25	5.29404074605387	7.13	146	elegans	88.5517	145	12613	0.0125787
Cluster367	Satellite	Satellite	NA	NA	NA	NA	10.9530888030888	10.39	0	36.01	4.51677026678102	5.83	777	elegans	90.0096	519	37199	0.0370979
Cluster368	DNA-hAT-Ac	II	1	TIR	hAT	Ac	16.2013157894737	15.21	0	36.33	7.44426201069497	10.4475	190	elegans	107.216	139	12371	0.0123374
Cluster369	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	13.7333536585366	13.14	2.36	38.2	5.44101787983947	7.725	328	elegans	639.63	219	112038	0.111733
Cluster36	DNA-hAT	II	1	TIR	hAT	NA	13.59	13.59	11.36	15.82	3.153696244092	2.23	2	elegans	351.5	2	703	0.000701089
Cluster370	Unknown	NA	NA	NA	NA	NA	19.6628092243187	19.16	2.74	39.12	5.18185478206749	6.94	477	elegans	92.7368	361	26574	0.0265018
Cluster371	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	25.5924444444444	25.82	6.88	38.68	6.03977760884922	8.37	405	elegans	135.174	356	44057	0.0439372
Cluster372	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	9.8759375	6.525	0	38.91	8.66330350839513	9.4225	64	elegans	558.49	49	27318	0.0272437
Cluster373	DNA	II	NA	NA	NA	NA	21.1800477326969	21.2	2.38	32.52	4.41009135272082	6.09	419	elegans	155.26	311	43547	0.0434286
Cluster374	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	11.2076923076923	9.605	0.8	38.65	7.24231076096373	3.9475	52	elegans	315.531	32	7046	0.00702684
Cluster375	DNA-hAT	II	1	TIR	hAT	NA	7.76649350649351	1.36	0	40.7	11.695835264859	11.61	77	elegans	321.746	71	22830	0.0227679
Cluster376	Unknown	NA	NA	NA	NA	NA	6.58731234866828	5.4	0.57	29.09	4.19643321638509	5.69	413	elegans	177.267	150	17082	0.0170356
Cluster377	SINE_q	I	NA	SINE	NA	NA	16.9875	15.155	13.58	24.06	4.94330102259613	4.9825	4	elegans	54	3	161	0.000160562
Cluster379	LINE-CR1	I	NA	LINE	Jockey	CR1	10.3275	11.19	0.37	23.4	7.76997571300227	13.89	32	elegans	291.583	24	6293	0.00627589
Cluster37	DNA-TcMar-Pogo	II	1	TIR	Tc1-Mariner	Pogo	13.0252032520325	9.19	0	32.24	8.90419005710818	14.18	123	elegans	179.86	100	17560	0.0175123
Cluster380	Unknown	NA	NA	NA	NA	NA	10.57264	8.96	0	30.81	6.0461744962174	6.64	125	elegans	222.534	103	22628	0.0225665
Cluster383	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	8.47333333333333	5.88	5.88	13.66	4.49178509429529	3.89	3	elegans	130.5	2	260	0.000259293
Cluster387	DNA	II	NA	NA	NA	NA	18.345047318612	18.62	3.31	31.05	5.91335131808055	7.41	317	elegans	106.732	250	24600	0.0245331
Cluster388	Unknown	NA	NA	NA	NA	NA	16.2570857142857	16.46	4.24	31.48	4.92125453623332	6.6325	350	elegans	123.697	264	31707	0.0316208
Cluster389	Satellite	Satellite	NA	NA	NA	NA	15.6140579710145	14.37	2.66	37.67	6.23527477407832	8.63	345	elegans	176.574	202	30067	0.0299853
Cluster38	DNA-TcMar-Pogo	II	1	TIR	Tc1-Mariner	Pogo	17.9035555555556	19.13	3.42	30.46	5.7495375922984	7.13	45	elegans	53.7805	41	1956	0.00195068
Cluster390	Unknown	NA	NA	NA	NA	NA	17.6872826086957	18.16	1.56	37.14	8.62671408076926	14.0175	92	elegans	273.806	72	18145	0.0180957
Cluster391	LINE-L1	I	NA	LINE	L1	NA	21.99616	21.41	9.71	40.41	6.41830042119985	9.36	125	elegans	387.788	99	38128	0.0380243
Cluster392	LINE-R2	I	NA	LINE	R2	NA	19.0752941176471	17.67	5.9	41.22	9.66062305390606	17.1925	34	elegans	147.938	32	4732	0.00471914
Cluster393	Unknown	NA	NA	NA	NA	NA	17.8785314685315	17.22	4.88	34.19	4.81257946091955	6.185	143	elegans	120.104	115	13016	0.0129806
Cluster394	Unknown	NA	NA	NA	NA	NA	15.666686746988	15.35	0.26	29.97	4.83899844239697	5.4675	166	elegans	120.838	117	12188	0.0121549
Cluster395	DNA	II	NA	NA	NA	NA	29.7727272727273	32.61	9.09	39.34	9.13010206056666	8	22	elegans	239.818	22	5201	0.00518686
Cluster396	Unknown	NA	NA	NA	NA	NA	23.6476923076923	23.65	8.15	43.34	6.79613370284159	9.73	195	elegans	137.869	107	12867	0.012832
Cluster397	DNA-TcMar-Tc2	II	1	TIR	Tc1-Mariner	Tc2	22.1163407821229	22.09	8.74	33.07	4.22509899960136	6.2625	716	elegans	83.5681	389	27599	0.027524
Cluster398	Unknown	NA	NA	NA	NA	NA	7.843	7.17	2.06	18.05	4.19786411207513	5.3725	30	elegans	334.038	26	8682	0.0086584
Cluster399	Satellite	Satellite	NA	NA	NA	NA	16.9761688311688	15.57	3.88	37.59	7.10048007196383	11.3625	154	elegans	218.4	95	18771	0.01872
Cluster39	Unknown	NA	NA	NA	NA	NA	17.8523636363636	17.88	9.22	29.45	4.44782841880143	6.325	55	elegans	71.1064	47	3043	0.00303473
Cluster3	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	32.6266666666667	38.48	20.92	38.48	10.1382707269698	8.78	3	elegans	109.5	2	218	0.000217407
Cluster400	Unknown	NA	NA	NA	NA	NA	14.5288	13.79	0	28.05	7.21830273217557	10.58	25	elegans	65.9565	23	1487	0.00148296
Cluster401	LINE-R2-NeSL	I	NA	LINE	R2	NeSL	12.104	12.915	0	33.69	8.58967458485385	10.665	20	elegans	632.857	14	8846	0.00882195
Cluster402	Unknown	NA	NA	NA	NA	NA	16.6604347826087	12.01	0.22	37.26	10.2082054688021	10.87	23	elegans	126.909	22	2764	0.00275649
Cluster403	RC-Helitron	II	2	Helitron	Helitron	NA	20.9193367346939	21.18	5.62	31.69	4.95416510277115	5.79499999999999	196	elegans	135.356	160	18532	0.0184816
Cluster404	RC-Helitron	II	2	Helitron	Helitron	NA	23.7828191489362	23.045	9.28	38.15	4.85718256720727	5.4575	188	elegans	302.459	74	20338	0.0202827
Cluster405	LINE-RTE-RTE	I	NA	LINE	RTE	NA	12.1338095238095	11.34	0	38.11	10.5928742445998	18.17	21	elegans	830.706	17	13952	0.0139141
Cluster406	LTR	I	NA	LTR	NA	NA	18.12625	18.555	0	27.03	8.23838392179298	3.4125	8	elegans	1349	5	6687	0.00666882
Cluster408	LINE-Jockey	I	NA	LINE	Jockey	NA	0	0	0	0	NA	0	1	elegans	1612	1	1612	0.00160762
Cluster409	LINE-CR1	I	NA	LINE	Jockey	CR1	21.755	21.755	17.78	25.73	5.62149891043305	3.975	2	elegans	215.5	2	431	0.000429828
Cluster40	DNA	II	NA	NA	NA	NA	10.0566315789474	8.93	3.59	24.31	4.97874644791329	5.02	95	elegans	468.913	69	32158	0.0320706
Cluster411	LINE-I-Jockey	I	NA	LINE	I	NA	20.57375	17.5	0	42.25	19.1007912607231	34.28	8	elegans	456.714	7	1821	0.00181605
Cluster415	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	1.135	1.135	0.66	1.61	0.67175144212722	0.475	2	elegans	138	2	276	0.00027525
Cluster416	LINE-CR1	I	NA	LINE	Jockey	CR1	4.9575	4.005	0	19.34	6.08190465937393	3.0975	8	elegans	1045.67	6	6270	0.00625295
Cluster417	LINE-CR1	I	NA	LINE	Jockey	CR1	9.52	9.52	9.52	9.52	NA	0	1	elegans	303	1	303	0.000302176
Cluster418	LINE-I-Jockey	I	NA	LINE	I	NA	18.329	18.26	0	36.51	18.4790923598656	34.7175	10	elegans	261.444	9	2182	0.00217607
Cluster419	Unknown	NA	NA	NA	NA	NA	18.95375	18.32	16.1	24.38	2.69082004229194	2.1575	8	elegans	73.3333	6	359	0.000358024
Cluster421	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	0	0	0	0	NA	0	1	elegans	448	1	448	0.000446782
Cluster426	LINE-CR1	I	NA	LINE	Jockey	CR1	12.42	12.42	8.28	16.56	5.85484414822461	4.14	2	elegans	56	2	112	0.000111696
Cluster427	LINE-CR1	I	NA	LINE	Jockey	CR1	0.52	0.15	0	1.41	0.774402995861974	0.705	3	elegans	1825.67	3	5350	0.00533546
Cluster42	DNA	II	NA	NA	NA	NA	10.3411111111111	7.89	0	31.52	6.60274603457778	6.13	63	elegans	226.532	47	10396	0.0103677
Cluster430	LINE-CR1	I	NA	LINE	Jockey	CR1	0	0	0	0	NA	0	1	elegans	389	1	389	0.000387942
Cluster431	LINE-CR1	I	NA	LINE	Jockey	CR1	7.05384615384615	6.4	0.23	20.2	6.06396671393341	9.85	13	elegans	599.818	11	6351	0.00633373
Cluster438	Simple_repeat	Simple_repeat	NA	NA	NA	NA	14.5030769230769	17.58	0	27.98	9.34564638803847	10.22	13	elegans	67.5	12	810	0.000807798
Cluster439	rRNA	rRNA	NA	NA	NA	NA	0	0	0	0	0	0	2	elegans	1750	2	3500	0.00349048
Cluster43	Unknown	NA	NA	NA	NA	NA	4.422	5.48	0	9.38	3.78379288167687	7.41	15	elegans	59.5714	14	833	0.000830735
Cluster440	SINE_q	I	NA	SINE	NA	NA	7.102	2.22	0	23.66	8.91277086233257	9.94	10	elegans	78.9	10	789	0.000786855
Cluster441	LINE-Penelope	I	NA	PLE	Penelope	NA	15.265	15.265	14.83	15.7	0.615182899632296	0.434999999999999	2	elegans	91.5	2	183	0.000182502
Cluster443	LINE-R2-NeSL	I	NA	LINE	R2	NeSL	19.77	19.77	15.17	24.37	6.50538238691624	4.6	2	elegans	89.5	2	131	0.000130644
Cluster444	DNA-CMC-Mirage	II	1	TIR	CACTA	Mirage	31.456	33.16	12.33	47.79	11.4995712963571	16.135	15	elegans	231.867	15	3478	0.00346854
Cluster445	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	20.2466666666667	21.5	13.49	25.75	6.22535407292897	6.13	3	elegans	71.6667	3	215	0.000214415
Cluster446	DNA	II	NA	NA	NA	NA	13.3766666666667	14.68	8.56	16.89	4.31523270905908	4.165	3	elegans	62.6667	3	188	0.000187489
Cluster448	DNA-hAT	II	1	TIR	hAT	NA	20.3052564102564	20.315	2.44	35.13	9.46982106337606	15.6925	78	elegans	100.222	54	4840	0.00482684
Cluster44	DNA-CMC-Mirage	II	1	TIR	CACTA	Mirage	10.4733333333333	11.68	7.62	12.12	2.4808331933714	2.25	3	elegans	85.3333	3	255	0.000254307
Cluster450	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	22.62	22.62	22.62	22.62	NA	0	1	elegans	76	1	76	7.57934e-05
Cluster452	DNA	II	NA	NA	NA	NA	24.76125	24.935	12.28	33.3	5.41609314912511	5.4375	16	elegans	71.2308	13	661	0.000659203
Cluster454	DNA	II	NA	NA	NA	NA	25.475	26.49	16.4	34.26	7.04279773953505	11.64	8	elegans	71.5	6	428	0.000426836
Cluster456	DNA-PiggyBac	II	1	TIR	PiggyBac	NA	32.83	32.83	32.83	32.83	0	0	2	elegans	86	1	85	8.47689e-05
Cluster457	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	9.67851063829787	8.49	2.16	25.23	4.90350273151019	4.165	47	elegans	753.154	39	29202	0.0291226
Cluster458	DNA-TcMar-Tc4	II	1	TIR	Tc1-Mariner	Tc4	9.18035714285714	5.99	0	36.46	8.30030648968575	6.1825	84	elegans	378.014	71	26629	0.0265566
Cluster459	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	21.9567901234568	21.98	0	48.6	11.6558887979409	19.005	162	elegans	292.203	118	33211	0.0331207
Cluster45	Unknown	NA	NA	NA	NA	NA	9.09348837209302	7.16	2.15	27.62	6.45219006145567	8.2	43	elegans	136.405	37	4970	0.00495649
Cluster460	DNA-CMC-Mirage	II	1	TIR	CACTA	Mirage	13.1344736842105	9.565	0.04	39.62	12.7129560849634	23.5975	38	elegans	1567.41	27	42141	0.0420264
Cluster461	DNA-MuLE-MuDR	II	1	TIR	Mutator	MuDR	15.2253658536585	15.215	0.1	38.6	7.37274279249261	8.5275	82	elegans	439.378	37	15099	0.015058
Cluster462	LTR-Pao	I	NA	LTR	Bel-Pao	Pao	8.02	8.02	8.02	8.02	NA	0	1	elegans	272	1	272	0.000271261
Cluster463	LTR	I	NA	LTR	NA	NA	6.6885	4.77	0	28.04	7.10954456680373	4.9375	20	elegans	276.824	17	4684	0.00467127
Cluster464	DNA-hAT	II	1	TIR	hAT	NA	18.7482608695652	18.96	0	32.53	5.65651293282244	6.82	138	elegans	105.535	99	6648	0.00662993
Cluster465	LTR-Gypsy	I	NA	LTR	Gypsy	NA	27.406	25.1	24.49	32.51	3.79406510223533	5.95	5	elegans	448.75	4	1794	0.00178912
Cluster466	Satellite	Satellite	NA	NA	NA	NA	9.89096774193548	7.51	1.82	27.05	5.78131804975172	10.17	62	elegans	478.118	17	7727	0.00770599
Cluster467	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	16.1369456066946	16.14	0	33.8	8.86727475833957	15.79	239	elegans	528.127	134	64420	0.0642449
Cluster468	DNA	II	NA	NA	NA	NA	13.372972972973	11.02	0.12	30.18	6.67259632566566	9.925	74	elegans	590	63	37061	0.0369602
Cluster469	Simple_repeat	Simple_repeat	NA	NA	NA	NA	6.83	5.14	3.77	11.58	4.17026378062587	3.905	3	elegans	176.667	3	447	0.000445785
Cluster46	LINE-CR1	I	NA	LINE	Jockey	CR1	20.9357142857143	20.39	11.45	32.08	5.93770314863573	6.14	14	elegans	200.308	13	2602	0.00259493
Cluster470	DNA	II	NA	NA	NA	NA	13.3512658227848	13.58	0.15	33.88	6.49368654429715	10.045	790	elegans	326.709	654	204721	0.204164
Cluster471	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.502375	5.6	0	34.59	7.26235953544112	6.9275	160	elegans	215.921	139	29614	0.0295335
Cluster472	DNA-hAT	II	1	TIR	hAT	NA	19.7083333333333	20.715	1.58	32.26	7.293967875984	8.8275	48	elegans	128.412	34	4088	0.00407689
Cluster473	Satellite	Satellite	NA	NA	NA	NA	9.16671280276817	8.96	0.13	22.5	4.25819127990502	5.74	289	elegans	84.6547	223	14708	0.014668
Cluster474	DNA	II	NA	NA	NA	NA	14.6197297297297	14.68	7.65	25.59	4.22626541634211	4.86	37	elegans	128.556	36	4262	0.00425041
Cluster475	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	11.7149206349206	10.005	0	31.53	6.71580917107993	8.01	252	elegans	83.1596	188	12907	0.0128719
Cluster476	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	24.4387250996016	25.69	6.1	43.33	9.30974474237224	17.005	251	elegans	247.719	210	49041	0.0489077
Cluster477	Unknown	NA	NA	NA	NA	NA	13.7724307692308	13.26	0	34.96	6.84863250738953	8.24	325	elegans	79.2878	271	20284	0.0202289
Cluster478	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	16.030206185567	15.92	5.07	32.6	6.8073784998616	9.74	97	elegans	301.177	79	20637	0.0205809
Cluster479	DNA-TcMar-Mariner	II	1	TIR	Tc1-Mariner	Mariner	15.21	15.21	15.21	15.21	NA	0	1	elegans	10	1	10	9.97281e-06
Cluster47	DNA-CMC-Chapaev	II	1	TIR	CACTA	Chapaev	10.2198571428571	8.73	1.56	26.28	6.17241091479133	8.4825	70	elegans	173.877	65	11171	0.0111406
Cluster480	DNA-CMC-Chapaev	II	1	TIR	CACTA	Chapaev	15.9244827586207	14.76	0	33.33	8.60123146756444	10.25	29	elegans	112.481	27	2913	0.00290508
Cluster482	DNA	II	NA	NA	NA	NA	18.1075	18.565	15.54	19.76	1.81492653662162	1.4525	4	elegans	108.25	4	433	0.000431823
Cluster483	Unknown	NA	NA	NA	NA	NA	12.1817910447761	11.3	0	35.39	10.2264407631858	15.685	67	elegans	220.66	50	11014	0.0109841
Cluster484	DNA-MULE-MuDR	II	1	TIR	Mutator	MuDR	16.5156	18.13	0	29.51	6.42533856436116	0.0100000000000016	25	elegans	40.3333	24	815	0.000812784
Cluster485	DNA-hAT-Ac	II	1	TIR	hAT	Ac	5.5825	1.395	0	33.12	8.20066223219269	9.1475	44	elegans	652.968	31	20204	0.0201491
Cluster488	Unknown	NA	NA	NA	NA	NA	6.08470588235294	3.38	0.2	30.04	6.50214375508299	5.7	51	elegans	132.872	47	6192	0.00617517
Cluster489	LTR-Gypsy	I	NA	LTR	Gypsy	NA	9.3725	7.98	4.13	17.4	5.93214056363019	6.6325	4	elegans	86.25	4	341	0.000340073
Cluster48	Unknown	NA	NA	NA	NA	NA	17.326	17.35	4.41	30.28	7.32046893679261	10.49	45	elegans	61.3182	44	2697	0.00268967
Cluster490	Unknown	NA	NA	NA	NA	NA	9.02652173913043	7.51	2.8	20.9	4.09120521106573	6.27	23	elegans	68.1176	17	579	0.000577426
Cluster491	SINE_q	I	NA	SINE	NA	NA	11.5522222222222	14.09	2.16	28.36	8.2571847898418	13.2475	18	elegans	69.875	16	1116	0.00111297
Cluster492	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	8.22	7.595	3.22	21.14	3.89878706016891	4.5675	38	elegans	131.324	37	4477	0.00446483
Cluster493	DNA	II	NA	NA	NA	NA	2.61	2.61	2.61	2.61	NA	0	1	elegans	38	1	38	3.78967e-05
Cluster494	DNA-TcMar-Tc1	II	1	TIR	Tc1-Mariner	Tc1	22.4193317422434	22.75	6.36	40.72	6.15311505753101	8.755	419	elegans	96.7941	340	28029	0.0279528
Cluster495	DNA	II	NA	NA	NA	NA	8.45238372093023	6.04	0	28.7	6.26504249327492	8.46	172	elegans	127.168	131	14913	0.0148725
Cluster496	Unknown	NA	NA	NA	NA	NA	14.5181132075472	14.93	2.5	26.2	5.41556057777521	7.8	53	elegans	110.568	44	4216	0.00420454
